:ID,:LABEL,AST_PARENT_FULL_NAME:string,AST_PARENT_TYPE:string,CODE:string,COLUMN_NUMBER:int,COLUMN_NUMBER_END:int,FILENAME:string,FULL_NAME:string,HASH,IS_EXTERNAL:boolean,LINE_NUMBER:int,LINE_NUMBER_END:int,NAME:string,OFFSET,OFFSET_END,ORDER:int,SIGNATURE:string
111669151703,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:Uf:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151704,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.Array:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151705,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,PropertyDescriptor:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151706,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.FileReader:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151707,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.String:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151708,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,fresh.js::program:<lambda>0:js:<member>(movementY):toFixed,,true,,,toFixed,,,0,
111669151709,METHOD,HTMLSpanElement,TYPE_DECL,<empty>,,,<empty>,HTMLSpanElement:toFixed,,true,,,toFixed,,,0,
111669151710,METHOD,__ecma.Array,TYPE_DECL,<empty>,,,<empty>,__ecma.Array:toFixed,,true,,,toFixed,,,0,
111669151711,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.FileReader:toFixed,,true,,,toFixed,,,0,
111669151712,METHOD,fresh.js::program:<lambda>0:Uf,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:Uf:toFixed,,true,,,toFixed,,,0,
111669151713,METHOD,__ecma.Boolean,TYPE_DECL,<empty>,,,<empty>,__ecma.Boolean:toFixed,,true,,,toFixed,,,0,
111669151714,METHOD,__ecma.String,TYPE_DECL,<empty>,,,<empty>,__ecma.String:toFixed,,true,,,toFixed,,,0,
111669151715,METHOD,PropertyDescriptor,TYPE_DECL,<empty>,,,<empty>,PropertyDescriptor:toFixed,,true,,,toFixed,,,0,
111669151716,METHOD,fresh.js::program:<lambda>0:js,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:js:toFixed,,true,,,toFixed,,,0,
111669151717,METHOD,fresh.js::program:<lambda>0:Jl,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:Jl:toFixed,,true,,,toFixed,,,0,
111669151718,METHOD,fresh.js::program:<lambda>0:f,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:f:toFixed,,true,,,toFixed,,,0,
111669151719,METHOD,__ecma.Null,TYPE_DECL,<empty>,,,<empty>,__ecma.Null:toFixed,,true,,,toFixed,,,0,
111669151720,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,new (src?: __ecma.String) => HTMLAudioElement:toFixed,,true,,,toFixed,,,0,
111669151721,METHOD,fresh.js::program:<lambda>0:rd:<lambda>357:<lambda>361,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:rd:<lambda>357:<lambda>361:toFixed,,true,,,toFixed,,,0,
111669151722,METHOD,fresh.js::program:<lambda>0:Kv,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:Kv:toFixed,,true,,,toFixed,,,0,
111669151723,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,__ecma.XMLHttpRequest:toFixed,,true,,,toFixed,,,0,
111669151724,METHOD,fresh.js::program:<lambda>0:vu,TYPE_DECL,<empty>,,,<empty>,fresh.js::program:<lambda>0:vu:shift,,true,,,shift,,,0,
