:ID,:LABEL,CODE:string,COLUMN_NUMBER,LINE_NUMBER,MODIFIER_TYPE:string,ORDER:int
133143986597,MODIFIER,<empty>,,,VIRTUAL,4
133143986598,MODIFIER,<empty>,,,VIRTUAL,3
133143986599,MODIFIER,<empty>,,,LAMBDA,4
133143986600,MODIFIER,<empty>,,,VIRTUAL,4
133143986601,MODIFIER,<empty>,,,VIRTUAL,5
133143986602,MODIFIER,<empty>,,,LAMBDA,6
133143986603,MODIFIER,<empty>,,,VIRTUAL,5
133143986604,MODIFIER,<empty>,,,VIRTUAL,5
133143986605,MODIFIER,<empty>,,,VIRTUAL,4
133143986606,MODIFIER,<empty>,,,VIRTUAL,3
133143986607,MODIFIER,<empty>,,,VIRTUAL,4
133143986608,MODIFIER,<empty>,,,VIRTUAL,3
133143986609,MODIFIER,<empty>,,,VIRTUAL,7
133143986610,MODIFIER,<empty>,,,VIRTUAL,3
133143986611,MODIFIER,<empty>,,,LAMBDA,4
133143986612,MODIFIER,<empty>,,,VIRTUAL,3
133143986613,MODIFIER,<empty>,,,LAMBDA,4
133143986614,MODIFIER,<empty>,,,VIRTUAL,3
133143986615,MODIFIER,<empty>,,,VIRTUAL,3
133143986616,MODIFIER,<empty>,,,VIRTUAL,3
133143986617,MODIFIER,<empty>,,,VIRTUAL,5
133143986618,MODIFIER,<empty>,,,LAMBDA,6
133143986619,MODIFIER,<empty>,,,VIRTUAL,5
133143986620,MODIFIER,<empty>,,,VIRTUAL,3
133143986621,MODIFIER,<empty>,,,LAMBDA,4
133143986622,MODIFIER,<empty>,,,VIRTUAL,3
133143986623,MODIFIER,<empty>,,,VIRTUAL,6
133143986624,MODIFIER,<empty>,,,VIRTUAL,3
133143986625,MODIFIER,<empty>,,,VIRTUAL,4
133143986626,MODIFIER,<empty>,,,LAMBDA,5
133143986627,MODIFIER,<empty>,,,VIRTUAL,4
133143986628,MODIFIER,<empty>,,,LAMBDA,5
133143986629,MODIFIER,<empty>,,,VIRTUAL,4
133143986630,MODIFIER,<empty>,,,LAMBDA,5
133143986631,MODIFIER,<empty>,,,VIRTUAL,4
133143986632,MODIFIER,<empty>,,,VIRTUAL,4
133143986633,MODIFIER,<empty>,,,LAMBDA,5
133143986634,MODIFIER,<empty>,,,VIRTUAL,3
133143986635,MODIFIER,<empty>,,,LAMBDA,4
133143986636,MODIFIER,<empty>,,,VIRTUAL,4
133143986637,MODIFIER,<empty>,,,LAMBDA,5
133143986638,MODIFIER,<empty>,,,VIRTUAL,4
133143986639,MODIFIER,<empty>,,,LAMBDA,5
133143986640,MODIFIER,<empty>,,,VIRTUAL,4
133143986641,MODIFIER,<empty>,,,LAMBDA,5
133143986642,MODIFIER,<empty>,,,VIRTUAL,4
133143986643,MODIFIER,<empty>,,,LAMBDA,5
133143986644,MODIFIER,<empty>,,,VIRTUAL,3
133143986645,MODIFIER,<empty>,,,LAMBDA,4
133143986646,MODIFIER,<empty>,,,VIRTUAL,3
133143986647,MODIFIER,<empty>,,,LAMBDA,4
133143986648,MODIFIER,<empty>,,,VIRTUAL,4
133143986649,MODIFIER,<empty>,,,LAMBDA,5
133143986650,MODIFIER,<empty>,,,VIRTUAL,4
133143986651,MODIFIER,<empty>,,,LAMBDA,5
133143986652,MODIFIER,<empty>,,,VIRTUAL,4
133143986653,MODIFIER,<empty>,,,VIRTUAL,3
